"","Geo_FIPS","MAJORITY","AADT","TC","Percentage.of.below.18","Percentage.of.above.65","Percentage.of.non.white.pop","Percentage.of.less.than.HS","Percentage.of.unemployment","MHI","Population.Density..Per.Sq..Mile.","PM2.5","Traffic"
"1",6037101110,22,0,0,0.2,0.17,0.22,0.15,0.07,63534,9710.18,11.30213066,566.5033447
"2",6037101122,22,0,0,0.13,0.2,0.12,0.06,0.05,90389,3335.385,11.09143346,165.7435974
"3",6037101220,22,0,0,0.2,0.16,0.29,0.2,0.1,43713,13719.17,11.2582362,821.6798096
"4",6037101300,22,0,0,0.11,0.24,0.14,0.1,0.04,81776,3897.202,11.01194549,1468.619195
"5",6037101400,71,0,0,0.15,0.19,0.23,0.09,0.06,75139,1419.35,11.1423019,2583.428727
"6",6037102103,23,0,0,0.16,0.15,0.23,0.05,0.09,76833,3848.471,11.29546441,2493.635495
"7",6037102104,23,0,0,0.15,0.2,0.2,0.1,0.1,80789,5810.727,11.46432553,3124.637798
"8",6037102105,23,0,0,0.17,0.1,0.34,0.2,0.06,57614,10012.82,11.56388147,2648.113091
"9",6037102107,71,0,0,0.16,0.16,0.23,0.1,0.06,109375,872.5884,11.14147063,1594.259505
"10",6037103101,23,0,0,0.19,0.15,0.18,0.13,0.04,99875,3098.075,11.24459686,140.8095466
"11",6037103102,23,0,0,0.16,0.17,0.26,0.19,0.05,75276,9879.707,11.23485105,687.9059962
"12",6037103300,22,0,0,0.19,0.19,0.17,0.03,0.04,105909,1594.402,11.14759703,899.7361175
"13",6037104103,23,0,0,0.2,0.13,0.31,0.26,0,97543,9362.728,11.24668191,2019.065361
"14",6037104105,23,0,0,0.24,0.09,0.46,0.37,0.07,54960,26817.63,11.13779234,1567.364184
"15",6037104108,23,0,0,0.27,0.1,0.41,0.39,0.07,51875,14173,11.19241127,1564.364074
"16",6037104124,22,0,0,0.22,0.14,0.35,0.18,0.05,77885,2240.531,10.91960855,2415.424348
"17",6037104201,23,1,0,0.24,0.11,0.38,0.43,0.05,60129,10855.54,11.16285509,1319.63451
"18",6037104203,23,0,0,0.28,0.07,0.42,0.45,0.05,49609,19904.44,11.16595012,1482.035379
"19",6037104204,71,1,0,0.23,0.11,0.36,0.39,0.07,59000,3576.102,10.9466938,1528.996943
"20",6037104310,23,0,0,0.32,0.09,0.39,0.46,0.05,74940,8518.715,11.20136625,2365.659717
"21",6037104401,23,1,1,0.25,0.11,0.34,0.45,0.06,69000,12434.37,11.28546472,2260.072102
"22",6037104403,23,1,1,0.23,0.13,0.39,0.36,0.07,60804,12485.01,11.44347884,4907.459464
"23",6037104404,23,0,0,0.3,0.08,0.4,0.48,0.07,56974,14802.13,11.32010666,1037.939823
"24",6037104500,23,0,0,0.21,0.12,0.47,0.49,0.03,64229,14754.58,11.40197774,893.8911847
"25",6037104610,23,0,0,0.25,0.1,0.43,0.5,0.02,61359,14810.23,11.40197774,525.0582645
"26",6037104620,23,0,0,0.21,0.1,0.47,0.51,0.05,64648,17202.52,11.40197774,457.8546445
"27",6037104701,23,0,0,0.34,0.07,0.35,0.6,0.11,35357,20710.34,11.30315023,904.4845999
"28",6037104703,24,0,0,0.35,0.06,0.35,0.5,0.06,41875,4818.29,11.2284956,785.071341
"29",6037104704,23,0,0,0.33,0.1,0.42,0.27,0.04,43338,6730.944,11.37171568,781.9743214
"30",6037104821,23,0,0,0.27,0.08,0.43,0.38,0.06,70231,17294.12,11.44575547,596.6045641
"31",6037104822,23,0,0,0.28,0.09,0.35,0.54,0.06,60515,12166.71,11.3752253,4822.397793
"32",6037106010,23,0,0,0.23,0.16,0.24,0.16,0.03,89946,3181.671,10.84104549,1191.410493
"33",6037106020,22,1,1,0.17,0.15,0.18,0.26,0.06,79703,6981.294,10.75629213,1037.527848
"34",6037106111,22,0,0,0.19,0.15,0.35,0.16,0.02,95288,2846.323,10.85587997,252.3170285
"35",6037106112,23,1,0,0.26,0.12,0.29,0.19,0.02,95625,4509.321,10.94114862,1002.147964
"36",6037106113,23,0,0,0.23,0.15,0.25,0.25,0.05,96667,6633.482,10.92587915,1585.200139
"37",6037106114,23,0,0,0.32,0.08,0.24,0.38,0.06,58194,16188.21,11.03348841,1917.265932
"38",6037106403,23,0,0,0.26,0.12,0.17,0.51,0.04,72604,8590.004,10.98471997,585.6584359
"39",6037106405,22,0,0,0.27,0.1,0.31,0.38,0.05,59352,10517.03,10.80754528,1168.006689
"40",6037106406,23,0,0,0.23,0.15,0.22,0.28,0.02,85115,7249.902,10.76509567,1122.159589
"41",6037106407,23,1,1,0.3,0.13,0.28,0.42,0.1,34327,34799.31,10.98471997,1741.756484
"42",6037106408,23,1,1,0.3,0.05,0.26,0.25,0.03,60199,41461.06,10.86166993,1734.364302
"43",6037106510,52,1,1,0.29,0.11,0.27,0.21,0.02,85521,2548.757,10.59569518,2927.384341
"44",6037106520,23,0,0,0.23,0.13,0.15,0.35,0.02,63924,6950.838,10.92897449,386.8328073
"45",6037106603,52,1,1,0.19,0.23,0.34,0.08,0.03,112404,534.1554,10.37209684,2843.234906
"46",6037106604,23,1,1,0.28,0.17,0.17,0.36,0.03,60350,5026.131,11.03732681,2978.657096
"47",6037106641,23,0,0,0.2,0.21,0.29,0.09,0.05,110357,5410.383,10.95076564,238.5626636
"48",6037106642,23,0,0,0.22,0.22,0.35,0.05,0.05,109063,4861.171,11.09275671,2125.360558
"49",6037106643,22,0,0,0.18,0.2,0.33,0.09,0.08,164125,2732.09,10.94210448,2144.811387
"50",6037106645,22,0,0,0.2,0.21,0.25,0.07,0.07,113940,3739.601,11.22167655,388.223765
"51",6037106646,23,0,0,0.18,0.22,0.4,0.1,0.08,110734,5545.915,11.20058307,3423.479442
"52",6037106648,23,0,0,0.3,0.09,0.25,0.42,0.02,68426,14848.87,11.15277668,607.7508307
"53",6037106649,23,1,1,0.24,0.13,0.4,0.26,0.02,87039,6194.044,11.17287637,1941.713469
"54",6037107010,23,0,0,0.25,0.08,0.26,0.39,0.09,69934,11881.84,10.88563321,562.0449257
"55",6037107020,23,0,0,0.3,0.07,0.25,0.32,0.02,84289,13842.87,11.0285217,539.8754624
"56",6037108101,23,0,0,0.16,0.26,0.34,0.1,0.05,121563,5340.001,11.03665977,2703.168762
"57",6037108102,22,0,0,0.19,0.24,0.42,0.08,0.07,100938,4212.643,10.87528753,1840.089199
"58",6037108103,23,0,0,0.14,0.26,0.36,0.06,0.01,146932,3129.274,10.94379099,1359.641575
"59",6037108104,23,0,0,0.25,0.18,0.49,0.05,0.02,152321,5756.783,10.70323464,136.3512126
"60",6037108202,52,0,0,0.25,0.21,0.61,0.07,0.05,97188,3233.558,10.51287274,3938.792052
