Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",06,037,101110,,14000US06037101110,0.2,0.17,0.22,0.15,0.07,63534,9710.18
06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",06,037,101122,,14000US06037101122,0.13,0.2,0.12,0.06,0.05,90389,3335.385
06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",06,037,101210,,14000US06037101210,0.23,0.1,0.27,0.16,0.05,44083,25263.42
06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",06,037,101220,,14000US06037101220,0.2,0.16,0.29,0.2,0.1,43713,13719.17
06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",06,037,101300,,14000US06037101300,0.11,0.24,0.14,0.1,0.04,81776,3897.202
06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",06,037,101400,,14000US06037101400,0.15,0.19,0.23,0.09,0.06,75139,1419.35
06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",06,037,102103,,14000US06037102103,0.16,0.15,0.23,0.05,0.09,76833,3848.471
06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",06,037,102104,,14000US06037102104,0.15,0.2,0.2,0.1,0.1,80789,5810.727
06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",06,037,102105,,14000US06037102105,0.17,0.1,0.34,0.2,0.06,57614,10012.82
06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",06,037,102107,,14000US06037102107,0.16,0.16,0.23,0.1,0.06,109375,872.5884
06037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",06,037,103101,,14000US06037103101,0.19,0.15,0.18,0.13,0.04,99875,3098.075
06037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",06,037,103102,,14000US06037103102,0.16,0.17,0.26,0.19,0.05,75276,9879.707
06037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",06,037,103200,,14000US06037103200,0.17,0.23,0.13,0.13,0.05,84286,2217.766
06037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",06,037,103300,,14000US06037103300,0.19,0.19,0.17,0.03,0.04,105909,1594.402
06037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",06,037,103400,,14000US06037103400,0.11,0.19,0.28,0.12,0.05,89926,6644.944
06037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",06,037,104103,,14000US06037104103,0.2,0.13,0.31,0.26,0,97543,9362.728
06037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",06,037,104105,,14000US06037104105,0.24,0.09,0.46,0.37,0.07,54960,26817.63
06037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",06,037,104108,,14000US06037104108,0.27,0.1,0.41,0.39,0.07,51875,14173
06037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",06,037,104124,,14000US06037104124,0.22,0.14,0.35,0.18,0.05,77885,2240.531
06037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",06,037,104201,,14000US06037104201,0.24,0.11,0.38,0.43,0.05,60129,10855.54
06037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",06,037,104203,,14000US06037104203,0.28,0.07,0.42,0.45,0.05,49609,19904.44
06037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",06,037,104204,,14000US06037104204,0.23,0.11,0.36,0.39,0.07,59000,3576.102
06037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",06,037,104310,,14000US06037104310,0.32,0.09,0.39,0.46,0.05,74940,8518.715
06037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",06,037,104320,,14000US06037104320,0.22,0.12,0.35,0.46,0.01,56021,11307.18
06037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",06,037,104401,,14000US06037104401,0.25,0.11,0.34,0.45,0.06,69000,12434.37
06037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",06,037,104403,,14000US06037104403,0.23,0.13,0.39,0.36,0.07,60804,12485.01
06037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",06,037,104404,,14000US06037104404,0.3,0.08,0.4,0.48,0.07,56974,14802.13
06037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",06,037,104500,,14000US06037104500,0.21,0.12,0.47,0.49,0.03,64229,14754.58
06037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",06,037,104610,,14000US06037104610,0.25,0.1,0.43,0.5,0.02,61359,14810.23
06037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",06,037,104620,,14000US06037104620,0.21,0.1,0.47,0.51,0.05,64648,17202.52
06037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",06,037,104701,,14000US06037104701,0.34,0.07,0.35,0.6,0.11,35357,20710.34
06037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",06,037,104703,,14000US06037104703,0.35,0.06,0.35,0.5,0.06,41875,4818.29
06037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",06,037,104704,,14000US06037104704,0.33,0.1,0.42,0.27,0.04,43338,6730.944
06037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",06,037,104810,,14000US06037104810,0.24,0.1,0.3,0.55,0.07,74149,12982.67
06037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",06,037,104821,,14000US06037104821,0.27,0.08,0.43,0.38,0.06,70231,17294.12
06037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",06,037,104822,,14000US06037104822,0.28,0.09,0.35,0.54,0.06,60515,12166.71
06037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",06,037,106010,,14000US06037106010,0.23,0.16,0.24,0.16,0.03,89946,3181.671
06037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",06,037,106020,,14000US06037106020,0.17,0.15,0.18,0.26,0.06,79703,6981.294
06037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",06,037,106111,,14000US06037106111,0.19,0.15,0.35,0.16,0.02,95288,2846.323
06037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",06,037,106112,,14000US06037106112,0.26,0.12,0.29,0.19,0.02,95625,4509.321
