DISTRICT,RTE,DESCRIPTION,County,City,State,Country,AHEAD_AADT
07,001,LOS ANGELES/ORANGE COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,42500
07,001,"LONG BEACH, BELLFLOWER BOULEVARD",Los Angeles County,Los Angeles,CA,USA,26000
07,001,"LONG BEACH, JCT. RTE. 22",Los Angeles County,Los Angeles,CA,USA,34000
07,001,"LONG BEACH, ANAHEIM STREET",Los Angeles County,Los Angeles,CA,USA,28000
07,001,"LONG BEACH, CHERRY AVENUE",Los Angeles County,Los Angeles,CA,USA,37000
07,001,"LONG BEACH, LONG BEACH BOULEVARD",Los Angeles County,Los Angeles,CA,USA,34500
07,001,"LONG BEACH, JCT. RTE. 710",Los Angeles County,Los Angeles,CA,USA,39000
07,001,"LONG BEACH, JCT. RTE. 103",Los Angeles County,Los Angeles,CA,USA,32000
07,001,"LOS ANGELES, ALAMEDA STREET",Los Angeles County,Los Angeles,CA,USA,32500
07,001,"LOS ANGELES, AVALON BOULEVARD",Los Angeles County,Los Angeles,CA,USA,41000
07,001,"LOS ANGELES, JCT. RTE. 110",Los Angeles County,Los Angeles,CA,USA,56000
07,001,"LOS ANGELES, VERMONT AVENUE",Los Angeles County,Los Angeles,CA,USA,53000
07,001,"LOS ANGELES, NORMANDIE AVENUE",Los Angeles County,Los Angeles,CA,USA,48500
07,001,"LOS ANGELES, JCT. RTE. 213",Los Angeles County,Los Angeles,CA,USA,61000
07,001,"TORRANCE, CRENSHAW BOULEVARD",Los Angeles County,Los Angeles,CA,USA,43500
07,001,"TORRANCE, JCT. RTE. 107",Los Angeles County,Los Angeles,CA,USA,42500
07,001,"TORRANCE, PALOS VERDES BOULEVARD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"REDONDO BEACH, TORRANCE BOULEVARD",Los Angeles County,Los Angeles,CA,USA,39500
07,001,"HERMOSA BEACH, AVIATION BOULEVARD",Los Angeles County,Los Angeles,CA,USA,50000
07,001,"HERMOSA BEACH, PIER AVENUE/14TH STREET",Los Angeles County,Los Angeles,CA,USA,45500
07,001,"MANHATTAN BEACH, ARTESIA BOULEVARD",Los Angeles County,Los Angeles,CA,USA,46000
07,001,"MANHATTAN BEACH, MANHATTAN BEACH BLVD",Los Angeles County,Los Angeles,CA,USA,57000
07,001,"EL SEGUNDO, ROSECRANS AVENUE",Los Angeles County,Los Angeles,CA,USA,65000
07,001,"EL SEGUNDO, EL SEGUNDO BOULEVARD",Los Angeles County,Los Angeles,CA,USA,56000
07,001,"LOS ANGELES, JCT. RTE. 105",Los Angeles County,Los Angeles,CA,USA,110000
07,001,"LOS ANGELES, LA INT'NL AIRPORT, CENTURY BLVD",Los Angeles County,Los Angeles,CA,USA,83000
07,001,"LOS ANGELES, LA INT'NL AIRPORT, VIA LINCOLN BLVD",Los Angeles County,Los Angeles,CA,USA,37000
07,001,"LOS ANGELES, MANCHESTER AVENUE",Los Angeles County,Los Angeles,CA,USA,57000
07,001,"LOS ANGELES, JEFFERSON BOULEVARD",Los Angeles County,Los Angeles,CA,USA,58000
07,001,"LOS ANGELES, CULVER BOULEVARD",Los Angeles County,Los Angeles,CA,USA,60000
07,001,"LOS ANGELES, JCT. RTE. 90",Los Angeles County,Los Angeles,CA,USA,65000
07,001,"LOS ANGELES, WASHINGTON BLVD",Los Angeles County,Los Angeles,CA,USA,47500
07,001,"LOS ANGELES, JCT. RTE. 187",Los Angeles County,Los Angeles,CA,USA,41500
07,001,"SANTA MONICA, JCT. RTE. 10",Los Angeles County,Los Angeles,CA,USA,62000
07,001,"SANTA MONICA, OCEAN AVENUE",Los Angeles County,Los Angeles,CA,USA,73000
07,001,"SANTA MONICA, CALIFORNIA AVENUE",Los Angeles County,Los Angeles,CA,USA,79000
07,001,"LOS ANGELES, CHAUTAUQUA BOULEVARD",Los Angeles County,Los Angeles,CA,USA,80000
07,001,"LOS ANGELES, SUNSET BOULEVARD",Los Angeles County,Los Angeles,CA,USA,60000
07,001,JCT. RTE. 27,Los Angeles County,Los Angeles,CA,USA,49000
07,001,"MALIBU, LAS FLORES CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,41000
07,001,"MALIBU, CROSS CREEK ROAD",Los Angeles County,Los Angeles,CA,USA,43000
07,001,"MALIBU, CIVIC CENTER WAY",Los Angeles County,Los Angeles,CA,USA,36500
07,001,"MALIBU, MALIBU CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"MALIBU, KANAN DUME ROAD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",Los Angeles County,Los Angeles,CA,USA,16700
07,001,"MALIBU, LUNITA ROAD",Los Angeles County,Los Angeles,CA,USA,16700
07,001,"MALIBU, ENCINAL CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,12300
07,001,"MALIBU, JCT. RTE. 23",Los Angeles County,Los Angeles,CA,USA,11700
07,001,MULHOLLAND HIGHWAY,Los Angeles County,Los Angeles,CA,USA,13400
07,001,LOS ANGELES/VENTURA COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,
07,002,"LOS ANGELES, CENTINELA  AVENUE",Los Angeles County,Los Angeles,CA,USA,29500
07,002,"LOS ANGELES, BUNDY DRIVE",Los Angeles County,Los Angeles,CA,USA,30500
07,002,"LOS ANGELES, JCT. RTE. 405",Los Angeles County,Los Angeles,CA,USA,50000
07,002,"LOS ANGELES, SYCAMORE AVENUE",Los Angeles County,Los Angeles,CA,USA,40500
07,002,"LOS ANGELES, HIGHLAND AVENUE",Los Angeles County,Los Angeles,CA,USA,39000
07,002,"LOS ANGELES, VINE STREET",Los Angeles County,Los Angeles,CA,USA,37500
07,002,"LOS ANGELES, WILTON PLACE",Los Angeles County,Los Angeles,CA,USA,43500
07,002,"LOS ANGELES, WESTERN AVENUE",Los Angeles County,Los Angeles,CA,USA,56000
07,002,"LOS ANGELES, JCT. RTE. 101",Los Angeles County,Los Angeles,CA,USA,40500
07,002,"LOS ANGELES, SUNSET BOULEVARD",Los Angeles County,Los Angeles,CA,USA,38500
07,002,"LOS ANGELES, LEFT ONTO GLENDALE BLVD",Los Angeles County,Los Angeles,CA,USA,61000
07,002,"LOS ANGELES, RIGHT VIA THE GLENDALE FREEWAY",Los Angeles County,Los Angeles,CA,USA,58000
07,002,"LOS ANGELES, JCT. RTE. 5",Los Angeles County,Los Angeles,CA,USA,161000
