"","DESCRIPTION","City","County","State","Country","AVG_AADT","AVG_TruckCounts","addr","lat","long","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"1","ALMANSOR AVE","LA","Los Angeles County","CA","USA",221000,6807,"ALMANSOR AVE,LA,Los Angeles County,CA,USA",34.103928136846,-118.125191358346,"N Almansor St, Alhambra, California, 91801",97.24,-118.125191358346,34.103928136846,-118.126191358346,34.102928136846,-118.124191358346,34.104928136846
"2","BUSWAY; EAST LA CITY LIMITS","LA","Los Angeles County","CA","USA",13700,1434,"BUSWAY; EAST LA CITY LIMITS,LA,Los Angeles County,CA,USA",34.03347,-118.15909,"East Los Angeles, California",88.43,-118.15909,34.03347,-118.18909,34.00347,-118.12909,34.06347
"3","E/O POLK ST; ASTORIA ST PED OC","LA","Los Angeles County","CA","USA",95500,6446,"E/O POLK ST; ASTORIA ST PED OC,LA,Los Angeles County,CA,USA",34.305048860549,-118.446028030431,"Astoria St, Sylmar, California, 91342",89.88,-118.446028030431,34.305048860549,-118.447028030431,34.304048860549,-118.445028030431,34.306048860549
"4","EAST LOS ANGELES CITY LIMITS","LA","Los Angeles County","CA","USA",218000,6736,"EAST LOS ANGELES CITY LIMITS,LA,Los Angeles County,CA,USA",34.708259905867,-118.427573189192,"Los Angeles City Rd, Lancaster, California, 93536",96.46,-118.427573189192,34.708259905867,-118.428573189192,34.707259905867,-118.426573189192,34.709259905867
"5","EAST OF INDIANA ST; ROWAN AVE","LA","Los Angeles County","CA","USA",239000,16637,"EAST OF INDIANA ST; ROWAN AVE,LA,Los Angeles County,CA,USA",34.473000408225,-118.178340531203,"Indiana St, Acton, California, 93510",90.1,-118.178340531203,34.473000408225,-118.179340531203,34.472000408225,-118.177340531203,34.474000408225
"6","ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)","LA","Los Angeles County","CA","USA",220,11,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED),LA,Los Angeles County,CA,USA",34.135449473069,-117.908790036062,"CA-39 S, Azusa, California, 91702",86.78,-117.908790036062,34.135449473069,-117.909790036062,34.134449473069,-117.907790036062,34.136449473069
"7","ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)","LA","Los Angeles County","CA","USA",220,11,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED),LA,Los Angeles County,CA,USA",34.135449473069,-117.908790036062,"CA-39 S, Azusa, California, 91702",86.78,-117.908790036062,34.135449473069,-117.909790036062,34.134449473069,-117.907790036062,34.136449473069
"8","ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)","LA","Los Angeles County","CA","USA",220,11,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED),LA,Los Angeles County,CA,USA",34.135449473069,-117.908790036062,"CA-39 S, Azusa, California, 91702",86.78,-117.908790036062,34.135449473069,-117.909790036062,34.134449473069,-117.907790036062,34.136449473069
"9","ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)","LA","Los Angeles County","CA","USA",220,11,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED),LA,Los Angeles County,CA,USA",34.135449473069,-117.908790036062,"CA-39 S, Azusa, California, 91702",86.78,-117.908790036062,34.135449473069,-117.909790036062,34.134449473069,-117.907790036062,34.136449473069
"10","ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)","LA","Los Angeles County","CA","USA",220,11,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED),LA,Los Angeles County,CA,USA",34.135449473069,-117.908790036062,"CA-39 S, Azusa, California, 91702",86.78,-117.908790036062,34.135449473069,-117.909790036062,34.134449473069,-117.907790036062,34.136449473069
